,Index,Scenario,Ordering,priority,prolog_priority
1284,1284,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['white']]",[0 0 1 0],"[[2, 2, 3, 4, 4], [1, 4, 4, 2, 3], [2, 3, 2, 4, 4], [1, 4, 4, 3, 2]]"
1285,1285,"{'right': 'green_car_straight', 'down': 'red_car_turn_right', 'left': 'white_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['green'], ['white'], ['red']]",[1 0 0 0],"[[1, 2, 1, 4, 0], [2, 0, 4, 2, 1], [1, 1, 2, 0, 4], [2, 4, 0, 1, 2]]"
1286,1286,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['red'], ['green']]",[0 0 1 0],"[[1, 4, 1, 4, 0], [2, 0, 4, 4, 1], [1, 1, 4, 0, 4], [2, 4, 0, 1, 4]]"
1287,1287,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'red_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'red']]",[1 0 1 0],"[[0, 2, 2, 4, 4], [0, 4, 4, 2, 2], [0, 2, 2, 4, 4], [0, 4, 4, 2, 2]]"
1288,1288,"{'right': 'white_car_turn_left', 'down': 'empty', 'left': 'red_car_turn_left', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_horizontal'}","[['green', 'red'], ['white']]",[0 0 1 1],"[[2, 1, 1, 0, 4], [1, 4, 0, 1, 1], [2, 1, 1, 4, 0], [1, 0, 4, 1, 1]]"
1289,1289,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'green_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['green'], ['white']]",[0 0 0 1],"[[1, 4, 1, 3, 0], [2, 0, 3, 4, 1], [1, 1, 4, 0, 3], [2, 3, 0, 1, 4]]"
1290,1290,"{'right': 'crosswalk', 'down': 'white_car_straight', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white', 'green']]",[1 1 0 1],"[[1, 3, 4, 0, 2], [2, 2, 0, 3, 4], [1, 4, 3, 2, 0], [2, 0, 2, 4, 3]]"
1291,1291,"{'right': 'white_car_turn_left', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['white', 'green', 'crosswalk']]",[1 1 0 1],"[[0, 1, 4, 3, 0], [0, 0, 3, 1, 4], [0, 4, 1, 0, 3], [0, 3, 0, 4, 1]]"
1292,1292,"{'right': 'red_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk', 'white'], ['red']]",[0 1 0 1],"[[0, 1, 4, 0, 3], [0, 3, 0, 1, 4], [0, 4, 1, 3, 0], [0, 0, 3, 4, 1]]"
1293,1293,"{'right': 'green_car_turn_left', 'down': 'crosswalk', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['white'], ['green']]",[0 1 0 0],"[[2, 1, 0, 4, 3], [1, 3, 4, 1, 0], [2, 0, 1, 3, 4], [1, 4, 3, 0, 1]]"
1294,1294,"{'right': 'green_car_turn_left', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'white_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['white', 'red'], ['green']]",[0 1 0 1],"[[2, 1, 4, 2, 0], [1, 0, 2, 1, 4], [2, 4, 1, 0, 2], [1, 2, 0, 4, 1]]"
1295,1295,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['green']]",[1 0 0 0],"[[2, 3, 4, 4, 0], [1, 0, 4, 3, 4], [2, 4, 3, 0, 4], [1, 4, 0, 4, 3]]"
1296,1296,"{'right': 'white_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk', 'red']]",[1 1 0 1],"[[1, 0, 4, 0, 3], [2, 3, 0, 0, 4], [1, 4, 0, 3, 0], [2, 0, 3, 4, 0]]"
1297,1297,"{'right': 'white_car_straight', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'red_car_straight', 'priority_ruling': 'none_no'}","[['red', 'crosswalk'], ['white'], ['green']]",[0 0 1 1],"[[0, 2, 3, 2, 1], [0, 1, 2, 2, 3], [0, 3, 2, 1, 2], [0, 2, 1, 3, 2]]"
1298,1298,"{'right': 'empty', 'down': 'empty', 'left': 'green_car_straight', 'up': 'white_car_straight', 'priority_ruling': 'stop_horizontal'}","[['white'], ['green']]",[0 0 0 1],"[[2, 4, 2, 2, 4], [1, 4, 2, 4, 2], [2, 2, 4, 4, 2], [1, 2, 4, 2, 4]]"
1299,1299,"{'right': 'red_car_turn_left', 'down': 'green_car_turn_left', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['white', 'crosswalk'], ['red'], ['green']]",[0 0 1 1],"[[1, 1, 0, 3, 1], [2, 1, 3, 1, 0], [1, 0, 1, 1, 3], [2, 3, 1, 0, 1]]"
1300,1300,"{'right': 'crosswalk', 'down': 'green_car_turn_left', 'left': 'red_car_straight', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['red'], ['white']]",[1 1 0 0],"[[0, 3, 2, 1, 1], [0, 1, 1, 3, 2], [0, 2, 3, 1, 1], [0, 1, 1, 2, 3]]"
1301,1301,"{'right': 'red_car_straight', 'down': 'crosswalk', 'left': 'green_car_straight', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['red', 'green', 'crosswalk'], ['white']]",[1 1 1 0],"[[1, 2, 2, 1, 3], [2, 3, 1, 2, 2], [1, 2, 2, 3, 1], [2, 1, 3, 2, 2]]"
1302,1302,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'red_car_turn_left', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'red'], ['white']]",[0 1 1 0],"[[2, 1, 1, 4, 3], [1, 3, 4, 1, 1], [2, 1, 1, 3, 4], [1, 4, 3, 1, 1]]"
1303,1303,"{'right': 'white_car_turn_right', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'white'], ['red']]",[1 1 0 0],"[[2, 0, 0, 4, 3], [1, 3, 4, 0, 0], [2, 0, 0, 3, 4], [1, 4, 3, 0, 0]]"
1304,1304,"{'right': 'crosswalk', 'down': 'red_car_turn_left', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'red', 'white']]",[1 1 1 0],"[[2, 3, 0, 4, 1], [1, 1, 4, 3, 0], [2, 0, 3, 1, 4], [1, 4, 1, 0, 3]]"
1305,1305,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_straight', 'up': 'green_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['white']]",[0 0 0 1],"[[2, 4, 2, 1, 4], [1, 4, 1, 4, 2], [2, 2, 4, 4, 1], [1, 1, 4, 2, 4]]"
1306,1306,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white'], ['green']]",[0 0 1 0],"[[0, 1, 2, 4, 4], [0, 4, 4, 1, 2], [0, 2, 1, 4, 4], [0, 4, 4, 2, 1]]"
1307,1307,"{'right': 'white_car_turn_right', 'down': 'red_car_turn_left', 'left': 'green_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['green'], ['red']]",[0 0 0 1],"[[1, 0, 1, 3, 1], [2, 1, 3, 0, 1], [1, 1, 0, 1, 3], [2, 3, 1, 1, 0]]"
1308,1308,"{'right': 'green_car_turn_right', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'red']]",[1 0 1 0],"[[0, 0, 0, 4, 4], [0, 4, 4, 0, 0], [0, 0, 0, 4, 4], [0, 4, 4, 0, 0]]"
1309,1309,"{'right': 'empty', 'down': 'white_car_straight', 'left': 'red_car_straight', 'up': 'green_car_straight', 'priority_ruling': 'none_no'}","[['white'], ['red'], ['green']]",[0 1 0 0],"[[0, 4, 2, 2, 2], [0, 2, 2, 4, 2], [0, 2, 4, 2, 2], [0, 2, 2, 2, 4]]"
1310,1310,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['white'], ['red']]",[0 0 0 1],"[[2, 2, 4, 1, 4], [1, 4, 1, 2, 4], [2, 4, 2, 4, 1], [1, 1, 4, 4, 2]]"
1311,1311,"{'right': 'crosswalk', 'down': 'empty', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk', 'green']]",[1 0 0 1],"[[2, 3, 4, 2, 4], [1, 4, 2, 3, 4], [2, 4, 3, 4, 2], [1, 2, 4, 4, 3]]"
1312,1312,"{'right': 'red_car_straight', 'down': 'white_car_straight', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['red', 'green'], ['white']]",[1 0 1 0],"[[1, 2, 2, 4, 2], [2, 2, 4, 2, 2], [1, 2, 2, 2, 4], [2, 4, 2, 2, 2]]"
1313,1313,"{'right': 'crosswalk', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'white']]",[1 0 1 0],"[[1, 3, 0, 4, 4], [2, 4, 4, 3, 0], [1, 0, 3, 4, 4], [2, 4, 4, 0, 3]]"
1314,1314,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'green_car_straight', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk'], ['red']]",[0 0 1 1],"[[2, 1, 2, 3, 4], [1, 4, 3, 1, 2], [2, 2, 1, 4, 3], [1, 3, 4, 2, 1]]"
1315,1315,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['red', 'white', 'crosswalk']]",[1 0 1 1],"[[0, 2, 0, 3, 4], [0, 4, 3, 2, 0], [0, 0, 2, 4, 3], [0, 3, 4, 0, 2]]"
1316,1316,"{'right': 'empty', 'down': 'crosswalk', 'left': 'green_car_turn_left', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['green', 'crosswalk'], ['red']]",[0 1 1 0],"[[1, 4, 1, 1, 3], [2, 3, 1, 4, 1], [1, 1, 4, 3, 1], [2, 1, 3, 1, 4]]"
1317,1317,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_straight', 'up': 'green_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['white']]",[0 0 0 1],"[[2, 4, 2, 2, 4], [1, 4, 2, 4, 2], [2, 2, 4, 4, 2], [1, 2, 4, 2, 4]]"
1318,1318,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['green']]",[0 1 0 0],"[[1, 1, 4, 1, 3], [2, 3, 1, 1, 4], [1, 4, 1, 3, 1], [2, 1, 3, 4, 1]]"
1319,1319,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_left', 'up': 'red_car_straight', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk'], ['red']]",[1 0 1 0],"[[1, 3, 1, 2, 4], [2, 4, 2, 3, 1], [1, 1, 3, 4, 2], [2, 2, 4, 1, 3]]"
1320,1320,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['crosswalk'], ['green'], ['red']]",[1 0 0 0],"[[1, 3, 4, 1, 0], [2, 0, 1, 3, 4], [1, 4, 3, 0, 1], [2, 1, 0, 4, 3]]"
1321,1321,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'crosswalk', 'up': 'white_car_turn_right', 'priority_ruling': 'none_no'}","[['crosswalk'], ['white'], ['green']]",[0 0 1 0],"[[0, 4, 3, 0, 1], [0, 1, 0, 4, 3], [0, 3, 4, 1, 0], [0, 0, 1, 3, 4]]"
1322,1322,"{'right': 'white_car_turn_right', 'down': 'red_car_turn_right', 'left': 'green_car_turn_left', 'up': 'empty', 'priority_ruling': 'none_no'}","[['white', 'red'], ['green']]",[1 1 0 0],"[[0, 0, 1, 4, 0], [0, 0, 4, 0, 1], [0, 1, 0, 0, 4], [0, 4, 0, 1, 0]]"
1323,1323,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk']]",[1 1 0 0],"[[2, 0, 4, 4, 3], [1, 3, 4, 0, 4], [2, 4, 0, 3, 4], [1, 4, 3, 4, 0]]"
1324,1324,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['green'], ['red']]",[1 0 0 0],"[[1, 3, 4, 1, 0], [2, 0, 1, 3, 4], [1, 4, 3, 0, 1], [2, 1, 0, 4, 3]]"
1325,1325,"{'right': 'empty', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'white_car_turn_right', 'priority_ruling': 'stop_vertical'}","[['red', 'white']]",[0 0 1 1],"[[1, 4, 0, 0, 4], [2, 4, 0, 4, 0], [1, 0, 4, 4, 0], [2, 0, 4, 0, 4]]"
1326,1326,"{'right': 'red_car_turn_left', 'down': 'white_car_straight', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['red'], ['white']]",[1 0 0 0],"[[1, 1, 4, 4, 2], [2, 2, 4, 1, 4], [1, 4, 1, 2, 4], [2, 4, 2, 4, 1]]"
1327,1327,"{'right': 'crosswalk', 'down': 'green_car_turn_right', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'red'], ['green']]",[1 0 1 0],"[[0, 3, 0, 4, 0], [0, 0, 4, 3, 0], [0, 0, 3, 0, 4], [0, 4, 0, 0, 3]]"
1328,1328,"{'right': 'green_car_straight', 'down': 'empty', 'left': 'white_car_straight', 'up': 'crosswalk', 'priority_ruling': 'triangles_vertical'}","[['green', 'white', 'crosswalk']]",[1 0 1 1],"[[1, 2, 2, 3, 4], [2, 4, 3, 2, 2], [1, 2, 2, 4, 3], [2, 3, 4, 2, 2]]"
1329,1329,"{'right': 'crosswalk', 'down': 'empty', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['crosswalk'], ['white']]",[1 0 0 0],"[[0, 3, 4, 1, 4], [0, 4, 1, 3, 4], [0, 4, 3, 4, 1], [0, 1, 4, 4, 3]]"
1330,1330,"{'right': 'red_car_turn_right', 'down': 'white_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk'], ['white']]",[1 0 1 0],"[[1, 0, 3, 4, 1], [2, 1, 4, 0, 3], [1, 3, 0, 1, 4], [2, 4, 1, 3, 0]]"
1331,1331,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'red_car_turn_right', 'priority_ruling': 'none_no'}","[['red'], ['white']]",[0 0 0 1],"[[0, 4, 4, 0, 1], [0, 1, 0, 4, 4], [0, 4, 4, 1, 0], [0, 0, 1, 4, 4]]"
1332,1332,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['white']]",[0 1 0 0],"[[2, 4, 2, 4, 2], [1, 2, 4, 4, 2], [2, 2, 4, 2, 4], [1, 4, 2, 2, 4]]"
1333,1333,"{'right': 'crosswalk', 'down': 'red_car_straight', 'left': 'green_car_straight', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk', 'red'], ['green']]",[1 1 0 0],"[[0, 3, 2, 4, 2], [0, 2, 4, 3, 2], [0, 2, 3, 2, 4], [0, 4, 2, 2, 3]]"
1334,1334,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['green', 'crosswalk'], ['red']]",[1 0 1 0],"[[0, 0, 3, 4, 1], [0, 1, 4, 0, 3], [0, 3, 0, 1, 4], [0, 4, 1, 3, 0]]"
1335,1335,"{'right': 'green_car_turn_right', 'down': 'red_car_turn_left', 'left': 'empty', 'up': 'empty', 'priority_ruling': 'triangles_horizontal'}","[['red'], ['green']]",[0 1 0 0],"[[2, 0, 4, 4, 1], [1, 1, 4, 0, 4], [2, 4, 0, 1, 4], [1, 4, 1, 4, 0]]"
1336,1336,"{'right': 'white_car_turn_right', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk'], ['red']]",[1 0 1 0],"[[1, 0, 3, 4, 2], [2, 2, 4, 0, 3], [1, 3, 0, 2, 4], [2, 4, 2, 3, 0]]"
1337,1337,"{'right': 'white_car_straight', 'down': 'empty', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'none_no'}","[['crosswalk'], ['white']]",[0 0 1 0],"[[0, 2, 3, 4, 4], [0, 4, 4, 2, 3], [0, 3, 2, 4, 4], [0, 4, 4, 3, 2]]"
1338,1338,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'red_car_turn_right', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['white']]",[0 1 0 0],"[[2, 1, 0, 4, 3], [1, 3, 4, 1, 0], [2, 0, 1, 3, 4], [1, 4, 3, 0, 1]]"
1339,1339,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'red_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_horizontal'}","[['white', 'crosswalk'], ['red']]",[0 1 0 1],"[[2, 4, 1, 3, 0], [1, 0, 3, 4, 1], [2, 1, 4, 0, 3], [1, 3, 0, 1, 4]]"
1340,1340,"{'right': 'green_car_turn_left', 'down': 'empty', 'left': 'white_car_turn_right', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['red'], ['white'], ['green']]",[0 0 0 1],"[[2, 1, 0, 1, 4], [1, 4, 1, 1, 0], [2, 0, 1, 4, 1], [1, 1, 4, 0, 1]]"
1341,1341,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'white_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['green']]",[0 0 0 1],"[[1, 4, 1, 3, 0], [2, 0, 3, 4, 1], [1, 1, 4, 0, 3], [2, 3, 0, 1, 4]]"
1342,1342,"{'right': 'empty', 'down': 'green_car_turn_right', 'left': 'crosswalk', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green', 'crosswalk'], ['red']]",[0 1 1 0],"[[2, 4, 3, 1, 0], [1, 0, 1, 4, 3], [2, 3, 4, 0, 1], [1, 1, 0, 3, 4]]"
1343,1343,"{'right': 'empty', 'down': 'red_car_turn_left', 'left': 'white_car_turn_left', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['red']]",[0 0 0 1],"[[1, 4, 1, 3, 1], [2, 1, 3, 4, 1], [1, 1, 4, 1, 3], [2, 3, 1, 1, 4]]"
1344,1344,"{'right': 'red_car_turn_right', 'down': 'white_car_turn_right', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['red', 'white', 'crosswalk']]",[1 1 1 0],"[[2, 0, 3, 4, 0], [1, 0, 4, 0, 3], [2, 3, 0, 0, 4], [1, 4, 0, 3, 0]]"
1345,1345,"{'right': 'white_car_turn_left', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['crosswalk'], ['white'], ['red']]",[0 1 0 0],"[[1, 1, 4, 1, 3], [2, 3, 1, 1, 4], [1, 4, 1, 3, 1], [2, 1, 3, 4, 1]]"
1346,1346,"{'right': 'red_car_turn_left', 'down': 'empty', 'left': 'empty', 'up': 'crosswalk', 'priority_ruling': 'stop_vertical'}","[['red', 'crosswalk']]",[1 0 0 1],"[[1, 1, 4, 3, 4], [2, 4, 3, 1, 4], [1, 4, 1, 4, 3], [2, 3, 4, 4, 1]]"
1347,1347,"{'right': 'empty', 'down': 'empty', 'left': 'white_car_turn_left', 'up': 'green_car_turn_left', 'priority_ruling': 'none_no'}","[['white'], ['green']]",[0 0 1 0],"[[0, 4, 1, 1, 4], [0, 4, 1, 4, 1], [0, 1, 4, 4, 1], [0, 1, 4, 1, 4]]"
1348,1348,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'red_car_straight', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['red'], ['white', 'green']]",[0 0 1 0],"[[1, 4, 2, 1, 1], [2, 1, 1, 4, 2], [1, 2, 4, 1, 1], [2, 1, 1, 2, 4]]"
1349,1349,"{'right': 'green_car_turn_right', 'down': 'crosswalk', 'left': 'empty', 'up': 'red_car_turn_left', 'priority_ruling': 'none_no'}","[['green', 'crosswalk', 'red']]",[1 1 0 1],"[[0, 0, 4, 1, 3], [0, 3, 1, 0, 4], [0, 4, 0, 3, 1], [0, 1, 3, 4, 0]]"
1350,1350,"{'right': 'white_car_turn_left', 'down': 'red_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk'], ['red']]",[1 0 1 0],"[[1, 1, 3, 4, 2], [2, 2, 4, 1, 3], [1, 3, 1, 2, 4], [2, 4, 2, 3, 1]]"
1351,1351,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'green_car_straight', 'up': 'white_car_turn_left', 'priority_ruling': 'none_no'}","[['red'], ['green'], ['white']]",[0 1 0 0],"[[0, 4, 2, 1, 0], [0, 0, 1, 4, 2], [0, 2, 4, 0, 1], [0, 1, 0, 2, 4]]"
1352,1352,"{'right': 'empty', 'down': 'green_car_straight', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['white']]",[0 1 0 0],"[[2, 4, 4, 1, 2], [1, 2, 1, 4, 4], [2, 4, 4, 2, 1], [1, 1, 2, 4, 4]]"
1353,1353,"{'right': 'empty', 'down': 'red_car_turn_right', 'left': 'empty', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['red'], ['white']]",[0 1 0 0],"[[1, 4, 4, 1, 0], [2, 0, 1, 4, 4], [1, 4, 4, 0, 1], [2, 1, 0, 4, 4]]"
1354,1354,"{'right': 'crosswalk', 'down': 'empty', 'left': 'green_car_turn_left', 'up': 'red_car_turn_left', 'priority_ruling': 'triangles_horizontal'}","[['crosswalk'], ['red'], ['green']]",[1 0 0 0],"[[2, 3, 1, 1, 4], [1, 4, 1, 3, 1], [2, 1, 3, 4, 1], [1, 1, 4, 1, 3]]"
1355,1355,"{'right': 'red_car_straight', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'green_car_turn_left', 'priority_ruling': 'stop_vertical'}","[['red'], ['white', 'green']]",[1 0 0 0],"[[1, 2, 4, 1, 1], [2, 1, 1, 2, 4], [1, 4, 2, 1, 1], [2, 1, 1, 4, 2]]"
1356,1356,"{'right': 'green_car_turn_left', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['crosswalk'], ['red'], ['green']]",[0 0 1 0],"[[2, 1, 3, 4, 1], [1, 1, 4, 1, 3], [2, 3, 1, 1, 4], [1, 4, 1, 3, 1]]"
1357,1357,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_straight', 'priority_ruling': 'none_no'}","[['crosswalk', 'green'], ['red']]",[0 0 1 1],"[[0, 2, 3, 2, 4], [0, 4, 2, 2, 3], [0, 3, 2, 4, 2], [0, 2, 4, 3, 2]]"
1358,1358,"{'right': 'white_car_turn_right', 'down': 'empty', 'left': 'red_car_turn_right', 'up': 'green_car_turn_right', 'priority_ruling': 'stop_horizontal'}","[['white', 'red', 'green']]",[1 0 1 1],"[[2, 0, 0, 0, 4], [1, 4, 0, 0, 0], [2, 0, 0, 4, 0], [1, 0, 4, 0, 0]]"
1359,1359,"{'right': 'white_car_straight', 'down': 'crosswalk', 'left': 'empty', 'up': 'green_car_turn_right', 'priority_ruling': 'triangles_vertical'}","[['white', 'crosswalk'], ['green']]",[1 1 0 0],"[[1, 2, 4, 0, 3], [2, 3, 0, 2, 4], [1, 4, 2, 3, 0], [2, 0, 3, 4, 2]]"
1360,1360,"{'right': 'empty', 'down': 'green_car_turn_left', 'left': 'red_car_turn_right', 'up': 'white_car_turn_left', 'priority_ruling': 'stop_horizontal'}","[['white', 'green'], ['red']]",[0 1 0 1],"[[2, 4, 0, 1, 1], [1, 1, 1, 4, 0], [2, 0, 4, 1, 1], [1, 1, 1, 0, 4]]"
1361,1361,"{'right': 'empty', 'down': 'white_car_turn_right', 'left': 'red_car_turn_right', 'up': 'crosswalk', 'priority_ruling': 'none_no'}","[['white', 'red', 'crosswalk']]",[0 1 1 1],"[[0, 4, 0, 3, 0], [0, 0, 3, 4, 0], [0, 0, 4, 0, 3], [0, 3, 0, 0, 4]]"
1362,1362,"{'right': 'red_car_straight', 'down': 'empty', 'left': 'white_car_straight', 'up': 'empty', 'priority_ruling': 'triangles_vertical'}","[['red', 'white']]",[1 0 1 0],"[[1, 2, 2, 4, 4], [2, 4, 4, 2, 2], [1, 2, 2, 4, 4], [2, 4, 4, 2, 2]]"
1363,1363,"{'right': 'red_car_turn_left', 'down': 'green_car_straight', 'left': 'crosswalk', 'up': 'empty', 'priority_ruling': 'stop_horizontal'}","[['green', 'crosswalk'], ['red']]",[0 1 1 0],"[[2, 1, 3, 4, 2], [1, 2, 4, 1, 3], [2, 3, 1, 2, 4], [1, 4, 2, 3, 1]]"
1364,1364,"{'right': 'empty', 'down': 'empty', 'left': 'crosswalk', 'up': 'green_car_straight', 'priority_ruling': 'triangles_vertical'}","[['crosswalk', 'green']]",[0 0 1 1],"[[1, 4, 3, 2, 4], [2, 4, 2, 4, 3], [1, 3, 4, 4, 2], [2, 2, 4, 3, 4]]"
1365,1365,"{'right': 'green_car_turn_left', 'down': 'red_car_turn_left', 'left': 'crosswalk', 'up': 'white_car_turn_left', 'priority_ruling': 'triangles_vertical'}","[['green', 'crosswalk'], ['red', 'white']]",[1 0 1 0],"[[1, 1, 3, 1, 1], [2, 1, 1, 1, 3], [1, 3, 1, 1, 1], [2, 1, 1, 3, 1]]"
1366,1366,"{'right': 'empty', 'down': 'white_car_turn_left', 'left': 'empty', 'up': 'green_car_straight', 'priority_ruling': 'triangles_horizontal'}","[['green'], ['white']]",[0 0 0 1],"[[2, 4, 4, 2, 1], [1, 1, 2, 4, 4], [2, 4, 4, 1, 2], [1, 2, 1, 4, 4]]"
